"url","name","resource_type","key_resource",""
"https://www.bls.gov/news.release/cpi.nr0.htm","CPI News Release (HTML)","Report Document","True",""
"https://www.bls.gov/news.release/pdf/cpi.pdf","CPI News Release (PDF)","Report Document","True",""
"https://www.bls.gov/feed/cpi.rss","CPI News Release (RSS)","Report Document","True",""
"https://www.bls.gov/charts/consumer-price-index/","CPI News Release Charts","Interactive Dashboard/Data Explorer","True",""
"https://www.bls.gov/regions/subjects/consumer-price-indexes.htm","Local and Regional CPI","Data Repository or Listings page","True",""
"https://www.bls.gov/opub/hom/cpi/","Handbook of Methods","Supporting Documentation Page","True",""
"https://www.bls.gov/cpi/technical-notes/","CPI News Release Technical Note","Supporting Documentation Page","True",""
"https://www.bls.gov/news.release/archives/cpi_0812025.htm","July 2025 Consumer Price Index","Report Document","True",""
"https://www.bls.gov/news.release/archives/cpi_08122025.pdf","July 2025 Consumer Price Index (PDF)","Report Document","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table1-202507.xlsx","News Release Table 1, July 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table2-202507.xlsx","News Release Table 2, July 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table3-202507.xlsx","News Release Table 3, July 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table4-202507.xlsx","News Release Table 4, July 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table5-202507.xlsx","News Release Table 5, July 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table6-202507.xlsx","News Release Table 6, July 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table7-202507.xlsx","News Release Table 7, July 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-u-202507.xlsx","CPI-U, July 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-w-202507.xlsx","CPI-W, July 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/historical-cpi-u-202507.xlsx","Historical CPI-U, July 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/c-cpi-u-202507.xlsx","C-CPI-U, July 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/news.release/archives/cpi_07152025.htm","June 2025 Consumer Price Index","Report Document","True",""
"https://www.bls.gov/news.release/archives/cpi_07152025.pdf","June 2025 Consumer Price Index (PDF)","Report Document","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table1-202506.xlsx","News Release Table 1, June 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table2-202506.xlsx","News Release Table 2, June 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table3-202506.xlsx","News Release Table 3, June 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table4-202506.xlsx","News Release Table 4, June 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table5-202506.xlsx","News Release Table 5, June 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table6-202506.xlsx","News Release Table 6, June 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table7-202506.xlsx","News Release Table 7, June 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-u-202506.xlsx","CPI-U, June 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-w-202506.xlsx","CPI-W, June 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/historical-cpi-u-202506.xlsx","Historical CPI-U, June 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/cpi/tables/supplemental-files/c-cpi-u-202506.xlsx","C-CPI-U, June 2025 (XLSX)","Data File (Excel)","True",""
"https://www.bls.gov/news.release/archives/cpi_06112025.htm","May 2025 Consumer Price Index","Report Document","False",""
"https://www.bls.gov/news.release/archives/cpi_06112025.pdf","May 2025 Consumer Price Index (PDF)","Report Document","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table1-202505.xlsx","News Release Table 1, May 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table2-202505.xlsx","News Release Table 2, May 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table3-202505.xlsx","News Release Table 3, May 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table4-202505.xlsx","News Release Table 4, May 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table5-202505.xlsx","News Release Table 5, May 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table6-202505.xlsx","News Release Table 6, May 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table7-202505.xlsx","News Release Table 7, May 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-u-202505.xlsx","CPI-U, May 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-w-202505.xlsx","CPI-W, May 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/historical-cpi-u-202505.xlsx","Historical CPI-U, May 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/c-cpi-u-202505.xlsx","C-CPI-U, May 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/news.release/archives/cpi_05132025.htm","April 2025 Consumer Price Index","Report Document","False",""
"https://www.bls.gov/news.release/archives/cpi_05132025.pdf","April 2025 Consumer Price Index (PDF)","Report Document","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table1-202504.xlsx","News Release Table 1, April 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table2-202504.xlsx","News Release Table 2, April 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table3-202504.xlsx","News Release Table 3, April 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table4-202504.xlsx","News Release Table 4, April 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table5-202504.xlsx","News Release Table 5, April 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table6-202504.xlsx","News Release Table 6, April 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table7-202504.xlsx","News Release Table 7, April 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-u-202504.xlsx","CPI-U, April 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-w-202504.xlsx","CPI-W, April 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/historical-cpi-u-202504.xlsx","Historical CPI-U, April 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/c-cpi-u-202504.xlsx","C-CPI-U, April 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/news.release/archives/cpi_04102025.htm","March 2025 Consumer Price Index","Report Document","False",""
"https://www.bls.gov/news.release/archives/cpi_04102025.pdf","March 2025 Consumer Price Index (PDF)","Report Document","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table1-202503.xlsx","News Release Table 1, March 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table2-202503.xlsx","News Release Table 2, March 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table3-202503.xlsx","News Release Table 3, March 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table4-202503.xlsx","News Release Table 4, March 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table5-202503.xlsx","News Release Table 5, March 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table6-202503.xlsx","News Release Table 6, March 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table7-202503.xlsx","News Release Table 7, March 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-u-202503.xlsx","CPI-U, March 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-w-202503.xlsx","CPI-W, March 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/historical-cpi-u-202503.xlsx","Historical CPI-U, March 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/c-cpi-u-202503.xlsx","C-CPI-U, March 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/news.release/archives/cpi_03122025.htm","February 2025 Consumer Price Index","Report Document","False",""
"https://www.bls.gov/news.release/archives/cpi_03122025.pdf","February 2025 Consumer Price Index (PDF)","Report Document","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table1-202502.xlsx","News Release Table 1, February 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table2-202502.xlsx","News Release Table 2, February 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table3-202502.xlsx","News Release Table 3, February 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table4-202502.xlsx","News Release Table 4, February 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table5-202502.xlsx","News Release Table 5, February 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table6-202502.xlsx","News Release Table 6, February 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table7-202502.xlsx","News Release Table 7, February 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-u-202502.xlsx","CPI-U, February 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/cpi-w-202502.xlsx","CPI-W, February 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/historical-cpi-u-202502.xlsx","Historical CPI-U, February 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/c-cpi-u-202502.xlsx","C-CPI-U, February 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/news.release/archives/cpi_02122025.htm","January 2025 Consumer Price Index","Report Document","False",""
"https://www.bls.gov/news.release/archives/cpi_02122025.pdf","January 2025 Consumer Price Index (PDF)","Report Document","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table1-202501.xlsx","News Release Table 1, January 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table2-202501.xlsx","News Release Table 2, January 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table3-202501.xlsx","News Release Table 3, January 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table4-202501.xlsx","News Release Table 4, January 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table5-202501.xlsx","News Release Table 5, January 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table6-202501.xlsx","News Release Table 6, January 2025 (XLSX)","Data File (Excel)","False",""
"https://www.bls.gov/cpi/tables/supplemental-files/news-release-table7-202501.xlsx","News Release Table 7, January 2025 (XLSX)","Data File (Excel)","False",""
